name,weight
use geographic information systems,78
gather experimental data,78
handle quotes from prospective shippers,78
manage major incidents,78
gather reference materials for artwork,78
empower social service users,78
execute marketing plan,78
use precision tools,78
write meeting reports,77
create mood boards,77
"""record customers personal data""",77
aircraft flight control systems,77
use microsoft office,77
signs of animal illness,77
design user interface,77
negotiate with social service stakeholders,77
negotiate improvement with suppliers,77
prepare samples for testing,76
develop professional identity in social work,76
consider social impact of actions on service users,76
organise social work packages,76
apply case management,76
make legislation transparent for users of social services,76
achieve sales targets,76
literature,76
ensure compliance with accounting conventions,76
develop investment portfolio,76
read maps,76
interpret law,76
ICT security standards,76
medical informatics,76
integrated development environment software,76
use automatic programming,75
give live presentation,75
aircraft mechanics,75
minimise shipping cost,75
forecast distribution activities,75
sew pieces of fabric,75
manage system testing,75
process commissioned instructions,75
biotechnology,75
work in partnership with social services users,75
apply anti-oppressive practices,75
legal terminology,75
audiovisual equipment,75
give advice on personal matters,75
perform quality audits,74
draft design specifications,74
"""show consideration for students situation""",74
ensure compliance with environmental legislation in food production,74
public relations,74
consumer protection,74
Waterfall development,74
forecast economic trends,74
negotiate with social service users,74
visual presentation techniques,74
use specific writing techniques,74
ergonomics in footwear and leather goods design,74
waste management,73
material mechanics,73
communicate test results to other departments,73
disseminate messages to people,73
check compatibility of materials,73
apply information security policies,73
DevOps,73
Rapid application development,73
customer segmentation,73
use markup languages,73
maintain records of mining operations,72
desktop publishing,72
manage a small-to-medium business,72
undertake inspections,72
animal welfare,72
operate welding equipment,72
ICT problem management techniques,72
mark differences in colours,72
manage operational budgets,72
exert quality control to processing food,72
hire new personnel,72
Incremental development,72
renewable energy technologies,72
web programming,72
advise on personnel management,72
construction product regulation,71
set quality assurance objectives,71
provide teacher support,71
perform public relations,71
content development processes,71
service-oriented modelling,71
adolescent psychological development,71
unified modelling language,71
operate forklift,71
ensure compliance with policies,71
provide improvement strategies,71
apply a protective layer,71
information structure,71
migrate existing data,71
monitor conveyor belt,71
perform business research,71
examine credit ratings,71
types of insurance,71
principles of insurance,71
calculate tax,70
negotiate employment agreements,70
advise on lesson plans,70
apply desktop publishing techniques,70
assess operating cost,70
estimate restoration costs,70
ecology,70
analyse data about clients,70
secure working area,70
disability care,70
edit recorded sound,70
non-ferrous metal processing,70
information architecture,70
Agile development,70
civil law,70
Prototyping development,69
sales department processes,69
use power tools,69
maintain electronic equipment,69
recruit personnel,69
explain accounting records,69
draft accounting procedures,69
prepare presentation material,69
control animal movement,69
health and safety in the workplace,69
Internet of Things,69
present detailed design proposals,69
develop automated migration methods,69
World Wide Web Consortium standards,69
identify customer requirements,69
work with chemicals,69
workplace sanitation,69
automation technology,69
follow the news,69
Hybrid model,69
Open source model,68
keep records of customer interaction,68
mechanics of vessels,68
manage maintenance operations,68
support implementation of quality management systems,68
mergers and acquisitions,68
Spiral development,68
pattern grading,68
create patterns for footwear,68
develop footwear and leather goods marketing plans,68
set up machine controls,68
liaise with shareholders,68
draft corporate emails,68
animal behaviour,68
circuit diagrams,68
advise on organisation climate,67
develop promotional tools,67
develop scientific theories,67
SaaS (service-oriented modelling),67
promote sustainable energy,67
Outsourcing model,66
conduct search engine optimisation,66
conduct routine machinery checks,66
perform minor repairs to equipment,66
sociology,66
software anomalies,66
swim,66
perform data mining,66
liaise with financiers,66
analyse loans,66
general medicine,66
operate GPS systems,66
prepare personal work environment,66
manage database,66
use maritime English,66
shape corporate culture,65
database development tools,65
coordinate advertising campaigns,65
identify hazards in the workplace,65
provide legal advice,65
electronic communication,65
attach accounting certificates to accounting transactions,65
manage personnel agenda,65
Iterative development,65
manage briefs for clothing manufacturing,65
anatomy of animals,65
physiology of animals,64
office software,64
develop test procedures,64
analyse environmental data,64
communicate in English in a competent way,64
follow given instructions,64
ensure quality of final product,64
maintain credit history of clients,64
develop employee retention programs,64
assess ICT knowledge,64
"""childrens physical development""",64
carry out recruiting services,64
identify accounting errors,64
depreciation,64
manage payroll reports,64
conduct public presentations,64
replace defect components,64
apply soldering techniques,64
computer forensics,64
identify energy needs,63
data storage,63
pack goods,63
ensure lawful business operations,63
manage the customer experience,63
footwear and leather goods marketing planning,63
types of literature genres,63
mine safety legislation,63
energy market,63
prepare for job interview,63
maintain test equipment,63
work in a food processing team,63
inspect industrial equipment,63
paediatrics,63
business loans,63
present legal arguments,63
design computer network,63
build community relations,63
manufacture wearing apparel products,63
"""archive healthcare users records""",62
behavioural disorders,62
electricity principles,62
prescribe medication,62
follow a brief,62
write to a deadline,62
contact customers,62
analyse the need for technical resources,62
electricity consumption,62
show empathy,62
unstructured data,62
monitor national economy,62
prepare footwear samples,62
implement footwear marketing plan,62
manage office facility systems,62
examine engineering principles,62
study media sources,62
ensure visual quality of the set,62
keep up with trends,62
psychiatry,62
offer financial services,62
cleaning industry health and safety measures,61
propose ICT solutions to business problems,61
neurology,61
special needs education,61
write records for repairs,61
program a CNC controller,61
manipulate wood,61
